Year,d14CO2
-48050,312.8
-48049,312.805
-48048,312.81
-48047,312.815
-48046,312.82
-48045,312.825
-48044,312.83
-48043,312.835
-48042,312.84
-48041,312.845
-48040,312.85
-48039,312.855
-48038,312.86
-48037,312.865
-48036,312.87
-48035,312.875
-48034,312.88
-48033,312.885
-48032,312.89
-48031,312.895
-48030,312.9
-48029,312.895
-48028,312.89
-48027,312.885
-48026,312.88
-48025,312.875
-48024,312.87
-48023,312.865
-48022,312.86
-48021,312.855
-48020,312.85
-48019,312.845
-48018,312.84
-48017,312.835
-48016,312.83
-48015,312.825
-48014,312.82
-48013,312.815
-48012,312.81
-48011,312.805
-48010,312.8
-48009,312.795
-48008,312.79
-48007,312.785
-48006,312.78
-48005,312.775
-48004,312.77
-48003,312.765
-48002,312.76
-48001,312.755
-48000,312.75
-47999,312.745
-47998,312.74
-47997,312.735
-47996,312.73
-47995,312.725
-47994,312.72
-47993,312.715
-47992,312.71
-47991,312.705
-47990,312.7
-47989,312.695
-47988,312.69
-47987,312.685
-47986,312.68
-47985,312.675
-47984,312.67
-47983,312.665
-47982,312.66
-47981,312.655
-47980,312.65
-47979,312.645
-47978,312.64
-47977,312.635
-47976,312.63
-47975,312.625
-47974,312.62
-47973,312.615
-47972,312.61
-47971,312.605
-47970,312.6
-47969,312.6
-47968,312.6
-47967,312.6
-47966,312.6
-47965,312.6
-47964,312.6
-47963,312.6
-47962,312.6
-47961,312.6
-47960,312.6
-47959,312.6
-47958,312.6
-47957,312.6
-47956,312.6
-47955,312.6
-47954,312.6
-47953,312.6
-47952,312.6
-47951,312.6
-47950,312.6
-47949,312.595
-47948,312.59
-47947,312.585
-47946,312.58
-47945,312.575
-47944,312.57
-47943,312.565
-47942,312.56
-47941,312.555
-47940,312.55
-47939,312.545
-47938,312.54
-47937,312.535
-47936,312.53
-47935,312.525
-47934,312.52
-47933,312.515
-47932,312.51
-47931,312.505
-47930,312.5
-47929,312.495
-47928,312.49
-47927,312.485
-47926,312.48
-47925,312.475
-47924,312.47
-47923,312.465
-47922,312.46
-47921,312.455
-47920,312.45
-47919,312.445
-47918,312.44
-47917,312.435
-47916,312.43
-47915,312.425
-47914,312.42
-47913,312.415
-47912,312.41
-47911,312.405
-47910,312.4
-47909,312.39
-47908,312.38
-47907,312.37
-47906,312.36
-47905,312.35
-47904,312.34
-47903,312.33
-47902,312.32
-47901,312.31
-47900,312.3
-47899,312.29
-47898,312.28
-47897,312.27
-47896,312.26
-47895,312.25
-47894,312.24
-47893,312.23
-47892,312.22
-47891,312.21
-47890,312.2
-47889,312.195
-47888,312.19
-47887,312.185
-47886,312.18
-47885,312.175
-47884,312.17
-47883,312.165
-47882,312.16
-47881,312.155
-47880,312.15
-47879,312.145
-47878,312.14
-47877,312.135
-47876,312.13
-47875,312.125
-47874,312.12
-47873,312.115
-47872,312.11
-47871,312.105
-47870,312.1
-47869,312.1
-47868,312.1
-47867,312.1
-47866,312.1
-47865,312.1
-47864,312.1
-47863,312.1
-47862,312.1
-47861,312.1
-47860,312.1
-47859,312.1
-47858,312.1
-47857,312.1
-47856,312.1
-47855,312.1
-47854,312.1
-47853,312.1
-47852,312.1
-47851,312.1
-47850,312.1
-47849,312.085
-47848,312.07
-47847,312.055
-47846,312.04
-47845,312.025
-47844,312.01
-47843,311.995
-47842,311.98
-47841,311.965
-47840,311.95
-47839,311.935
-47838,311.92
-47837,311.905
-47836,311.89
-47835,311.875
-47834,311.86
-47833,311.845
-47832,311.83
-47831,311.815
-47830,311.8
-47829,311.79
-47828,311.78
-47827,311.77
-47826,311.76
-47825,311.75
-47824,311.74
-47823,311.73
-47822,311.72
-47821,311.71
-47820,311.7
-47819,311.69
-47818,311.68
-47817,311.67
-47816,311.66
-47815,311.65
-47814,311.64
-47813,311.63
-47812,311.62
-47811,311.61
-47810,311.6
-47809,311.595
-47808,311.59
-47807,311.585
-47806,311.58
-47805,311.575
-47804,311.57
-47803,311.565
-47802,311.56
-47801,311.555
-47800,311.55
-47799,311.545
-47798,311.54
-47797,311.535
-47796,311.53
-47795,311.525
-47794,311.52
-47793,311.515
-47792,311.51
-47791,311.505
-47790,311.5
-47789,311.49
-47788,311.48
